no	file	line	ruleId	level
1	batch/FLB010.cbl	137	R017	ERROR
2	batch/FLB010.cbl	196	R003	ERROR
3	batch/FLB010.cbl	201	R016	ERROR
4	batch/FLB010.cbl	184	R005	ERROR
5	batch/FLB010.cbl	219	R012	ERROR
6	batch/FLB010.cbl	214	R025	WARNING
7	batch/FLB020.cbl	140	R018	WARNING
8	batch/FLB020.cbl	172	R018	WARNING
9	batch/FLB020.cbl	70	S001	WARNING
10	batch/FLB020.cbl	70	S002	ERROR
11	batch/FLB020.cbl	70	S004	WARNING
12	batch/FLB020.cbl	190	R029	WARNING
13	batch/FLB030.cbl	186	R010	ERROR
14	batch/FLB030.cbl	169	R009	WARNING
15	batch/FLB030.cbl	135	R014	NOTE
16	batch/FLB030.cbl	152	R013	WARNING
17	batch/FLB030.cbl	63	R015	ERROR
18	batch/FLB030.cbl	150	R028	WARNING
19	batch/FLB030.cbl	164	R006	NOTE
20	batch/FLB030.cbl	165	R006	NOTE
21	batch/FLB030.cbl	247	R007	ERROR
22	batch/FLB030.cbl	218	R023	WARNING
23	batch/FLB030.cbl	110	R011	WARNING
24	batch/FLB030.cbl	174	R004	ERROR
25	batch/FLB040.cbl	126	R001	ERROR
26	batch/FLB040.cbl	56	R002	NOTE
27	batch/FLB040.cbl	45	R024	WARNING
28	batch/FLB040.cbl	62	R026	ERROR
29	batch/FLB040.cbl	139	R027	WARNING
30	batch/FLJ010.jcl	46	R032	WARNING
31	batch/FLJ010.jcl	65	R030	WARNING
32	online/FLO010.cbl	72	R021	ERROR
33	online/FLO010.cbl	134	R021	ERROR
34	online/FLO010.cbl	190	R031	ERROR
35	batch/FLB010.cbl	240	R011	WARNING
36	batch/FLB020.cbl	110	R039	ERROR
37	batch/FLB020.cbl	202	R039	ERROR
38	batch/FLB020.cbl	120	R037	ERROR
39	batch/FLB050.cbl	95	R037	ERROR
40	batch/FLB050.cbl	112	R038	WARNING
41	batch/FLB050.cbl	83	R039	ERROR
42	batch/FLB055.cbl	85	R040	WARNING
43	online/FLO010.cbl	163	R033	ERROR
44	online/FLO010.cbl	131	R045	NOTE
45	online/FLO040.cbl	50	R035	WARNING
46	online/FLO040.cbl	134	R036	ERROR
47	online/FLO040.cbl	52	R043	WARNING
48	online/FLO040.cbl	91	R044	NOTE
49	batch/FLB040.cbl	90	R034	WARNING
50	batch/FLB010.cbl	182	R049	NOTE
51	batch/FLB060.cbl	79	R034	WARNING
52	batch/FLB060.cbl	85	R042	ERROR
53	batch/FLB060.cbl	99	R049	NOTE
54	batch/FLB060.cbl	112	R041	ERROR
55	batch/FLJ020.jcl	29	R048	NOTE
56	batch/FLJ030.jcl	19	R047	ERROR
57	batch/FLJ030.jcl	28	R046	WARNING
