# Accepted findings on corpus-public/. The files are third-party teaching material, not defect-free by
# construction, so a row here records a finding that is either a real defect in the upstream file (say so)
# or a false positive judged not worth changing the rule for. "*" in place of file:line accepts every
# finding of that rule. RuleEvaluationReportTest fails on a finding missing from this file and on a row
# that no longer fires.
#
# A reason that opens "rule limit:" marks a finding the rule should not have made, and so a candidate
# rule fix. Nothing in this folder may be edited: it is checked in byte-for-byte from upstream.
ruleId	file:line	reason
R001	cobol-programming-course/course4/cbl/DEPTPAY.CBL:30	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM AVERAGE-SALARY at line 15 and enters DISPLAY-DETAILS with DEPT-NAME unset. Every execution sets it at line 20.
R001	cobol-programming-course/course4/cbl/DEPTPAY.CBL:31	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM AVERAGE-SALARY at line 15 and enters DISPLAY-DETAILS with DEPT-LOC unset. Every execution sets it at line 21.
R001	cobol-programming-course/course4/cbl/DEPTPAY.CBL:32	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM AVERAGE-SALARY at line 15 and enters DISPLAY-DETAILS with MANAGER-FNAME unset. Every execution sets it at line 22.
R001	cobol-programming-course/course4/cbl/DEPTPAY.CBL:33	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM AVERAGE-SALARY at line 15 and enters DISPLAY-DETAILS with MANAGER-FNAME unset. Every execution sets it at line 22.
R001	cobol-programming-course/course4/cbl/DEPTPAY.CBL:34	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM AVERAGE-SALARY at line 15 and enters DISPLAY-DETAILS with DEPT-AVG-SALARY unset. Every execution sets it at line 26.
R001	cobol-programming-course/course4/cbl/DEPTPAY.CBL:35	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM AVERAGE-SALARY at line 15 and enters DISPLAY-DETAILS with DEPT-NBR-EMPS unset. Every execution sets it at line 24.
R001	cobol-programming-course/course4/cbl/EMPPAY.CBL:32	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM INITIALIZATION at line 20 and enters PAYMENT-WEEKLY with EMP-HOURS unset. Every execution sets it at line 28.
R001	cobol-programming-course/course4/cbl/EMPPAY.CBL:34	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM INITIALIZATION at line 20 and enters PAYMENT-WEEKLY with EMP-HOURS unset. Every execution sets it at line 28.
R001	cobol-programming-course/course4/cbl/EMPPAY.CBL:38	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM INITIALIZATION at line 20 and enters PAYMENT-WEEKLY with EMP-HOURS and EMP-HOURLY-RATE unset. Every execution sets them at line 28 and line 29.
R001	cobol-programming-course/course4/cbl/EMPPAY.CBL:42	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM INITIALIZATION at line 20 and enters PAYMENT-MONTHLY with EMP-HOURS unset. Every execution sets it at line 28.
R001	cobol-programming-course/course4/cbl/EMPPAY.CBL:46	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM PAYMENT-WEEKLY at line 21 and enters PAYMENT-MONTHLY with EMP-PAY-WEEK unset. Every execution sets it at line 38.
R001	cobol-programming-course/course4/cbl/EMPPAY.CBL:50	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM INITIALIZATION at line 20 and enters SHOW-OUTPUT with EMP-HOURS unset. Every execution sets it at line 28.
R001	cobol-programming-course/course4/cbl/EMPPAY.CBL:51	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM INITIALIZATION at line 20 and enters SHOW-OUTPUT with EMP-HOURLY-RATE unset. Every execution sets it at line 29.
R001	cobol-programming-course/course4/cbl/EMPPAY.CBL:52	rule limit: CfgBuilder keeps a paragraph PERFORM's sequential edge beside its call edge, so reaching definitions takes a path that steps over PERFORM PAYMENT-WEEKLY at line 21 and enters SHOW-OUTPUT with EMP-OT-RATE unset. Every execution sets it at line 33, 35 or 37.
