# Accepted findings on corpus-constructs/. The fixtures carry no seeded defects, so a row here is
# either a true finding on a fixture written to carry the construct the rule reads — RESTART= on a
# JOB card, a step that allocates none of its program's DDs — or a false positive judged not worth
# changing the rule for. "*" in place of file:line accepts every finding of that rule.
# RuleEvaluationReportTest fails on a finding missing from this file and on a row that no longer
# fires.
#
# A reason that opens "rule limit:" marks a finding the rule should not have made: the fixture is
# valid code with no construction reason behind the hit, so the row is a candidate rule fix. Every
# other reason says for itself which of the two kinds its row is.
ruleId	file:line	reason
R001	sql/CSQ109.cbl:41	rule limit: WS-SHOHIN-MEI is set by the SELECT INTO of the copybook paragraph CSC101.cpy:10, but DefUseAnalyzer reads every EXEC SQL statement as reference-only, so a host variable that receives its value from SQL alone looks unset.
R001	sql/CSQ301.cbl:132	9900-SQL-ERROR is only ever entered by a PERFORM, and every caller MOVEs a message into WS-ERR-MSG on the line before; the unset path is the CFG's fall-through edge out of the paragraph above, which no execution takes.
R001	sql/CSQ302.cbl:150	9900-SQL-ERROR is only ever entered by a PERFORM, and every caller MOVEs a message into WS-ERR-MSG on the line before; the unset path is the CFG's fall-through edge out of the paragraph above, which no execution takes.
R001	sql/CSQ303.cbl:114	9900-SQL-ERROR is only ever entered by a PERFORM, and every caller MOVEs a message into WS-ERR-MSG on the line before; the unset path is the CFG's fall-through edge out of the paragraph above, which no execution takes.
R001	sql/CSQ304.cbl:117	9900-SQL-ERROR is only ever entered by a PERFORM, and every caller MOVEs a message into WS-ERR-MSG on the line before; the unset path is the CFG's fall-through edge out of the paragraph above, which no execution takes.
R001	sql/CSQ307.cbl:91	9900-SQL-ERROR is only ever entered by a PERFORM, and every caller MOVEs a message into WS-ERR-MSG on the line before; the unset path is the CFG's fall-through edge out of the paragraph above, which no execution takes.
R002	sql/CSQ401.cbl:43	rule limit: WS-KEN-CD-IN is the host variable of the DECLARE CSR-FULL CURSOR at line 100, and R002 collects reference names from PROCEDURE DIVISION statements only, so a DECLARE CURSOR written in WORKING-STORAGE counts for nothing.
R002	sql/CSQ404.cbl:25	rule limit: WS-KISO-KOKYAKU-NO is the host variable of the DECLARE CSR-KEIRO CURSOR at line 38, which R002 does not read because it lives in WORKING-STORAGE rather than in the PROCEDURE DIVISION.
R005	sql/CSQ106.cbl:118	rule limit: WS-IX is capped by WS-ROWSET-N, which holds SQLERRD(3) from the rowset FETCH and can never exceed the OCCURS 5 host arrays, but a value moved from a special register is unbounded to the interval analysis, so the UNTIL caps nothing.
R005	sql/CSQ106.cbl:119	rule limit: the same rowset loop bound, at the ADD of the fetched quantity.
R005	sql/CSQ505.cbl:135	rule limit: WS-GYO is capped at 10 by the UNTIL of the loop at line 103, but IntervalAnalysis reads only the first relation of "SQLCODE NOT = 0 OR WS-GYO > 10", narrows on SQLCODE and leaves WS-GYO at its PICTURE range.
R008	*	R008 is off by default; RuleEvaluationReportTest forces it on. Its 311 findings here are PERFORM statements that name a paragraph without THRU, the house style of every fixture in this folder, and no defect. Accepted wholesale as in corpus/baseline.tsv.
R019	sql/CSQ204.cbl:39	The fixture declares CSR-RS WITH RETURN TO CALLER and leaves it open at GOBACK on purpose, which is how a stored procedure hands its result set back; rule limit: R019 does not exempt a cursor declared WITH RETURN.
R019	sql/CSQ502.cbl:64	The same construct with WITH RETURN TO CLIENT, which the fixture's own header already records as a known R019 false positive; rule limit: R019 does not exempt WITH RETURN.
R030	jcl/CJ109.jcl:39	rule limit: STEP060 runs under the COND=(0,NE) of the CJ109 JOB statement at line 2, which covers every step of the job, and R030 looks only at the EXEC statement and the enclosing IF.
R030	jcl/CJ308.jcl:22	True by the rule's reading: the INCLUDE group CI304 inserts STEP005 ahead of it, which makes STEP010 a later step, and CJ308 exercises INCLUDE mechanics rather than being a job anyone runs.
R039	sql/CSQ101.cbl:82	rule limit: CSR-KOKYAKU is closed at line 88, before the COMMIT of 0000-MAIN at line 47 can run; the forward walk from the OPEN crosses the CFG's paragraph fall-through and reaches a synchronisation point no real path reaches before the CLOSE.
R039	sql/CSQ106.cbl:76	rule limit: CSR-MEISAI is closed at line 82, before the COMMIT of 0000-MAIN at line 69 can run; the forward walk from the OPEN crosses the CFG's paragraph fall-through and reaches a synchronisation point no real path reaches before the CLOSE.
R039	sql/CSQ202.cbl:53	rule limit: CSR-UPD is closed at line 37, before 8000-END reaches its COMMIT at line 89; the forward walk from the OPEN crosses the CFG's paragraph fall-through and reaches a synchronisation point no real path reaches before the CLOSE.
R039	sql/CSQ203.cbl:81	rule limit: CSR-NOHOLD is closed at line 86, and line 102 is the COMMIT of the termination paragraph, which the fixture's own comment at line 73 distinguishes from the loop; the forward walk from the OPEN crosses the CFG's paragraph fall-through and reaches a synchronisation point no real path reaches before the CLOSE.
